title,pubDate,description,link
GST Network to begin accepting fresh registrations from June 25,"Fri, 23 Jun 2017 14:45:39 GMT","The GSTN portal was open from November 8, 2016, till April 30, 2017, and then again for 15 days in June for enrolment of existing taxpayers.",http://economictimes.indiatimes.com/news/economy/policy/gst-network-to-begin-accepting-fresh-registrations-from-june-25/articleshow/59289007.cms
India only country with maximum opportunity to invest: GP Hinduja,"Fri, 23 Jun 2017 13:36:22 GMT","Highlighting that India has excellent opportunities for Chinese companies to invest in infra, he said in his view the only country in the world today which has maximum opportunities is India.",http://economictimes.indiatimes.com/news/economy/indicators/india-only-country-with-maximum-opportunity-to-invest-gp-hinduja/articleshow/59288214.cms
OnePlus wants customs duty on imported smartphones deferred,"Fri, 23 Jun 2017 18:53:15 GMT","Adequate time should be given to companies like OnePlus that sell only one model every year because a sudden increase in prices could drive away potential customers, a top executive said.",http://economictimes.indiatimes.com/tech/hardware/oneplus-wants-customs-duty-on-imported-smartphones-deferred/articleshow/59292502.cms
"We just want to make the best android flagship: Pete Lau, Co-founder, OnePlus","Fri, 23 Jun 2017 18:53:10 GMT","Lau is hoping the new OnePlus 5 will follow the path of the OnePlus 3 and 3T, which were big successes in the premium smartphone segment.",http://economictimes.indiatimes.com/tech/hardware/we-just-want-to-make-the-best-android-flagship-pete-lau-co-founder-oneplus/articleshow/59292499.cms
"Government, TRAI discuss policy; IMG brainstorms on telcos' demands","Fri, 23 Jun 2017 16:49:12 GMT","According to sources, the high-level meeting was held to discuss regulatory and policy issues in the sector and expedite the Bharat Net project.",http://economictimes.indiatimes.com/news/economy/policy/government-trai-discuss-policy-img-brainstorms-on-telcos-demands/articleshow/59290590.cms
Infosys to pay $1 million to settle case of visa violations in New York,"Fri, 23 Jun 2017 17:46:47 GMT","The statement said that Infosys obtained B-1 visas, which are temporary visitor visas, instead of the H-1B work permit which was required.",http://economictimes.indiatimes.com/tech/ites/infosys-to-pay-1-million-to-settle-case-of-visa-violations-in-new-york/articleshow/59290650.cms
Infosys board to face investors' heat at AGM tomorrow,"Fri, 23 Jun 2017 12:44:37 GMT","The meet is important in light of the lower revenue outlook for this fiscal (2017-18), tech disruptions and slowdown in the IT industry.",http://economictimes.indiatimes.com/infosys-board-to-face-investors-heat-at-agm-tomorrow/articleshow/59287213.cms
"TCS says it hired over 12,500 people in United States in last 5 years","Fri, 23 Jun 2017 16:29:55 GMT","TCS said that over the past five years, the company has steadily increased its relationships and recruitment from more than 75 US college campuses.",http://economictimes.indiatimes.com/tech/ites/tcs-says-it-hired-over-12500-people-in-united-states-in-last-5-years/articleshow/59287163.cms
America’s biggest banks clear first hurdle in Fed’s stress tests,"Fri, 23 Jun 2017 17:38:26 GMT","The reviews have encouraged the 34 banks to add more than $750 billion in common equity capital since 2009, with a focus on safe and less profitable businesses.",http://economictimes.indiatimes.com/news/international/business/americas-biggest-banks-clear-first-hurdle-in-feds-stress-tests/articleshow/59291472.cms
Canada has an unusual drug problem: Shortage of marijuana,"Fri, 23 Jun 2017 17:26:00 GMT","Federal Finance Minister Bill Morneau has said he favours a tax rate that will starve out the black market, one of the government’s key objectives.",http://economictimes.indiatimes.com/news/international/world-news/canada-has-an-unusual-drug-problem-shortage-of-marijuana/articleshow/59291225.cms
"Angela Merkel says Theresa May's Brexit proposals ""not the breakthrough""","Fri, 23 Jun 2017 14:24:45 GMT",German Chancellor Angela Merkel  and French President Emmanuel Macron also made clear that they would not pursue changes to the EU's Lisbon Treaty unless reform of the bloc demanded it.,http://economictimes.indiatimes.com/news/international/world-news/angela-merkel-says-theresa-mays-brexit-proposals-not-the-breakthrough/articleshow/59288766.cms
Emmanuel Macron and Angela Merkel back tougher EU approach on trade,"Fri, 23 Jun 2017 14:22:24 GMT","At a joint news conference between the two leaders at the end of a two-day European Union summit, Macron said he favoured open markets but that Europe ""cannot be naive"".",http://economictimes.indiatimes.com/news/international/world-news/emmanuel-macron-and-angela-merkel-back-tougher-eu-approach-on-trade/articleshow/59288735.cms
PM Theresa May defends proposals for EU citizens living in Britain,"Fri, 23 Jun 2017 14:08:49 GMT","""I think that's a very serious offer. There are some differences between that and the proposals of the European Commission but the matter will now go into the negotiations.""",http://economictimes.indiatimes.com/news/international/world-news/pm-theresa-may-defends-proposals-for-eu-citizens-living-in-britain/articleshow/59288582.cms
Whirlpool fridge started London tower block fire that killed 79,"Fri, 23 Jun 2017 13:17:42 GMT","The fire gutted Grenfell Tower, a block of mainly social housing in the U.K. capital’s most affluent district of Kensington, in the west of the city.",http://economictimes.indiatimes.com/news/international/world-news/whirlpool-fridge-started-london-tower-block-fire-that-killed-79/articleshow/59288009.cms
"Soli Sorabjee steps down as IIC president, mantle passes to J&K governor NN Vohra","Fri, 23 Jun 2017 19:09:24 GMT","ET, in its Friday edition, had reported how some of IIC’s life trustees had objected to Soli Sorabjee being re-elected president.",http://economictimes.indiatimes.com/news/politics-and-nation/soli-sorabjee-steps-down-as-iic-president-mantle-passes-to-jk-governor-nn-vohra/articleshow/59292706.cms
UP offers pregnant women Rs 1 lakh prize to expose prenatal sex determination centers,"Fri, 23 Jun 2017 19:08:04 GMT","The payout will be in three instalments – first at the stage of a successful operation, second at the time of appearing before the court as a witness and third at the time of a conviction",http://economictimes.indiatimes.com/news/politics-and-nation/up-offers-pregnant-women-rs-1-lakh-prize-to-expose-prenatal-sex-determination/articleshow/59292692.cms
Maharashtra CM Devendra Fadnavis meets Sharad Pawar for consensus on farm loan waiver,"Fri, 23 Jun 2017 19:02:40 GMT","Farmers in the state are seeking complete loan waiver. They have criticised the proposed Rs1-lakh limit, saying state needs to do more as many farmers have taken lakhs of rupees loan.",http://economictimes.indiatimes.com/news/politics-and-nation/maharashtra-cm-devendra-fadnavis-meets-sharad-pawar-for-consensus-on-farm-loan-waiver/articleshow/59292610.cms
‘Rare Herb’ Hatha Jodi myth busted,"Fri, 23 Jun 2017 18:56:12 GMT","‘Hatha Jodi’, literally meaning ‘clasped hands’ is a rage across e-commerce sites as the ‘rare magical herb’, which is said to be imbued with divine powers believed to bring prosperity.",http://economictimes.indiatimes.com/news/politics-and-nation/rare-herb-hatha-jodi-myth-busted/articleshow/59292486.cms
Indian-Americans gear up to welcome PM Narendra Modi,"Fri, 23 Jun 2017 18:17:57 GMT","In addition to the community events, several think-tanks and organisations have planned a series of events coinciding with the US-India Summit on Monday.",http://economictimes.indiatimes.com/news/politics-and-nation/indian-americans-gear-up-to-welcome-pm-narendra-modi/articleshow/59285851.cms
Narendra Modi's trip to US: India talking to US for strong statement on terror from Pakistan,"Fri, 23 Jun 2017 18:01:22 GMT","This along with a firm commitment to join forces in the Asia-Pacific to balance aggressive Chinese intent in the region, is likely to form cornerstone of the meeting between Modi and Donald Trump.",http://economictimes.indiatimes.com/news/defence/narendra-modis-trip-to-us-india-talking-to-us-for-strong-statement-on-terror-from-pakistan/articleshow/59291886.cms
Traders bet on calendar spread as Nifty moves in a tight range,"Thu, 12 Aug 2010 20:55:54 GMT","A trading combination involving Nifty options is gaining prominence among savvy trading desks of institutional investors.

",http://economictimes.indiatimes.com/traders-bet-on-calendar-spread-as-nifty-moves-in-a-tight-range/articleshow/6302358.cms
Nifty may find support at 5300 level,"Wed, 11 Aug 2010 20:52:06 GMT","As far as stock futures are concerned, we are very near to the highest-ever open interest with 195 crore shares in open interest. ",http://economictimes.indiatimes.com/nifty-may-find-support-at-5300-level/articleshow/6296017.cms
Seven out of top 10 Asian small-cap funds are Indian,"Thu, 12 Aug 2010 05:20:58 GMT","An analysis of 300 Asian small-cap schemes shows DSP BlackRock Micro Cap Fund leading the charge, delivering an 82% return over the past year.",http://economictimes.indiatimes.com/seven-out-of-top-10-asian-small-cap-funds-are-indian/articleshow/6295976.cms
Inflation reflects growth dynamics in India: Christopher Wood,"Sun, 08 Aug 2010 14:02:56 GMT","India has inflation and it reflects the fundamental growth, Christopher Wood, equity strategist, CLSA, said at ET Now Mkt Summit-2010.

",http://economictimes.indiatimes.com/inflation-reflects-growth-dynamics-in-india-christopher-wood/articleshow/6274053.cms
"Market may trade in a range, but FIIs seen sold on India","Sun, 08 Aug 2010 19:35:47 GMT",Market may see range-bound trading this week in the absence of any major trigger.,http://economictimes.indiatimes.com/market-may-trade-in-a-range-but-fiis-seen-sold-on-india/articleshow/6277705.cms
'Don't bank only on price-to-earning ratio',"Sun, 08 Aug 2010 22:25:00 GMT","Many experts believe that looking at PE ratio in isolation won’t help investors grasp realities of the mkt and higher valuation may not be the only deciding factor driving mkt. 
",http://economictimes.indiatimes.com/dont-bank-only-on-price-to-earning-ratio/articleshow/6278228.cms
Prabhudas Lilladher has a reduce rating on Infosys,"Fri, 05 Dec 2008 18:30:00 GMT",Prabhudas Lilladher has a ‘reduce’ rating on Infosys Technologies as it feels that the outlook for the company and the software industry is quite weak in the near-term.,http://economictimes.indiatimes.com/markets/stocks/recos/prabhudas-lilladher-has-a-reduce-rating-on-infosys/articleshow/3798718.cms
Fin Crisis: Too late and too little done in US,"Thu, 04 Dec 2008 20:35:00 GMT",A crisis of $240 trillion cannot be stemmed with bailout packages of $1 to $10 trillion. 2008: Year of global financial crisis | Survive credit crisis | Ghosts of 1929,http://economictimes.indiatimes.com/markets/stocks/recos/fin-crisis-too-late-and-too-little-done-in-us/articleshow/3794549.cms
Weak rupee takes its toll on cos with huge foreign debt,"Wed, 01 Oct 2008 03:10:42 GMT","The falling rupee will severely affect the small companies, whereas the big ones will be impacted moderately. Get rid of Debt | Adopt correct investment strategies",http://economictimes.indiatimes.com/markets/forex/weak-rupee-takes-its-toll-on-cos-with-huge-foreign-debt/articleshow/3546158.cms
Wait for more signals before turning positive,"Sun, 27 Jul 2008 22:40:49 GMT","At the recent low of 12514 points, the Sensex has tested the 12800-12000-pts support zone and has since then attempted a corrective rally.",http://economictimes.indiatimes.com/markets/stocks/recos/wait-for-more-signals-before-turning-positive/articleshow/3292640.cms
Six Indian cos among BusinessWeek's top 100 Infotech firms,"Wed, 02 Jul 2008 13:55:05 GMT","BusinessWeek's 'The Infotech 100', has ranked Bharti Airtel at the 21st position followed by Reddington India (55th) and RCom (66th). Successful business formula",http://economictimes.indiatimes.com/news/company/corporate-trends/six-indian-cos-among-businessweeks-top-100-infotech-firms/articleshow/3189334.cms
Indian firms slip in global ranking; four move out of Top-500,"Sun, 29 Jun 2008 06:08:01 GMT",14 firms present in a new list of world's 500 most valued firms together seeing an erosion of about $150 billion in their market value in the first three months of this year.,http://economictimes.indiatimes.com/news/company/corporate-trends/indian-firms-slip-in-global-ranking-four-move-out-of-top-500/articleshow/3177077.cms
'Big Daddy' laps up Cipla after Q1 nos beat forecast,"Fri, 13 Aug 2010 22:05:24 GMT","Shares of Cipla inched up on heavy volumes on Friday, after the company’s first quarter earnings beat the consensus estimate.",http://economictimes.indiatimes.com/markets/stocks/news/big-daddy-laps-up-cipla-after-q1-nos-beat-forecast/articleshow/6308646.cms
Old Fox has dream run on Dalal Street,"Fri, 13 Aug 2010 21:56:46 GMT","The Old Fox of Dalal Street has been on a dream run since the past couple of weeks. On Friday, most stocks that he had been steadily building up positions in figured among key gainers of the day.",http://economictimes.indiatimes.com/markets/stocks/news/old-fox-has-dream-run-on-dalal-street/articleshow/6308631.cms
Cairn India hits record high on BSE amid stake sale talks,"Fri, 13 Aug 2010 14:41:07 GMT","The scrip, which was flat for most of the session, shot up in the final hour of trade on the Bombay Stock Exchange to settle with a net gain of 4.36 per cent at Rs 355.45.",http://economictimes.indiatimes.com/markets/stocks/news/cairn-india-hits-record-high-on-bse-amid-stake-sale-talks/articleshow/6306679.cms
Vedanta plunges 5.59% on LSE amid talks to buy Cairn stake,"Fri, 13 Aug 2010 13:56:27 GMT","In the late afternoon session, the scrip was being traded at 20.61 pounds, down by 5.50 per cent on the LSE. Vedanta opened on a positive note, but soon swung into the red.",http://economictimes.indiatimes.com/markets/stocks/news/vedanta-plunges-5-59-per-cent-on-lse-amid-talks-to-buy-cairn-stake/articleshow/6306526.cms
SBI shares on gaining spree; hit record high,"Fri, 13 Aug 2010 13:17:42 GMT","In the past two days, the scrip recorded a gain of over 9 per cent on the BSE, making its investors richer by a whopping Rs 15,000 crore.
",http://economictimes.indiatimes.com/markets/stocks/news/sbi-shares-on-gaining-spree-hit-record-high/articleshow/6306241.cms
FM must rethink,"Fri, 05 Mar 2010 00:02:47 GMT",TT Ram Mohan has rightly suggested that the tax-GDP ratio measures structural improvement. The FM must rethink his medium-term debtto-GDP target. ,http://economictimes.indiatimes.com/fm-must-rethink/articleshow/5645094.cms
Amalgamate banks,"Fri, 05 Mar 2010 00:01:28 GMT",Financial inclusion and financial literacy will be the paramount objective while implementing reforms along with UID project to protect the interests of poor. ,http://economictimes.indiatimes.com/amalgamate-banks/articleshow/5645086.cms
Managing data,"Mon, 12 Oct 2009 21:10:52 GMT","This refers to your edit ‘A welcome quest’ (ET, Oct 8). It is imperative to have a strong database.",http://economictimes.indiatimes.com/managing-data/articleshow/5117958.cms
Right technology,"Mon, 12 Oct 2009 21:09:54 GMT","Apropos of ‘The climate conundrum’ (ET, Oct 9), Mukul Sanwal rightly suggests that developing countries should lead in setting the agenda for global technological cooperation.",http://economictimes.indiatimes.com/right-technology/articleshow/5117957.cms
ET Search,"Tue, 06 Aug 2013 08:15:00 GMT",Rupee#CAD#Economic crisis#Food Bill,http://economictimes.indiatimes.com/et-search/articleshow/21646857.cms
"After the Oscars, what's next for silent stars of The Artist?","Tue, 28 Feb 2012 19:12:07 GMT","The team behind The Artist will have spent the first day of the rest of their lives conforming to the grandest, and most lucrative, of Hollywood traditions. ",http://economictimes.indiatimes.com/after-the-oscars-whats-next-for-silent-stars-of-the-artist/articleshow/12075465.cms
Delhi World Book fair: A fair like no other,"Sat, 25 Feb 2012 02:08:37 GMT","It's the World Book fair, which comes around once every two years sprawling across the giant halls of Pragati Maidan.  This is the fair's 20th edition.",http://economictimes.indiatimes.com/delhi-world-book-fair-a-fair-like-no-other/articleshow/12028630.cms
Indian gift makes its way to State Department exhibition,"Fri, 24 Feb 2012 08:09:49 GMT","An elephant figurine gifted by the then HM LK Advani to US Secretary of State Colin Powell in 2002, has made its way to the State Department hall.",http://economictimes.indiatimes.com/lk-advanis-gift-makes-its-way-to-state-department-exhibition-hall/articleshow/12017534.cms
IMD to use dynamic models for forecasts,"Tue, 21 Feb 2012 20:49:54 GMT","Statistical models used by IMD will still be used for monsoon forecast, but the ministry of earth sciences is putting more emphasis on dynamic models.",http://economictimes.indiatimes.com/india-meteorological-department-to-use-dynamic-models-for-forecasts/articleshow/11983844.cms
Docs reveal contents of first wire msg between India & Eng,"Tue, 21 Feb 2012 09:49:25 GMT","Newly discovered documents have revealed the first telegraph messages and joy when England was linked for the first time with India on 23 June, 1870. ",http://economictimes.indiatimes.com/documents-reveal-contents-of-the-first-telegraph-message-between-india-england/articleshow/11976488.cms
Worried Amitabh Bachchan fans pray to Lord Shiva for his recovery,"Mon, 20 Feb 2012 10:57:34 GMT",Hundreds of worried fans of ailing Bollywood megastar Amitabh Bachchan today performed a yagna here to pray for his speedy recovery.,http://economictimes.indiatimes.com/worried-amitabh-bachchan-fans-pray-to-lord-shiva-for-his-recovery/articleshow/11963187.cms
Every decision of government needn’t be a big reform: Anand Mahindra,"Sun, 01 Jun 2014 22:30:07 GMT","""The fact that we are the world’s largest democracy and we are all aware that power and a role in global affairs for a nation comes from economic strength.""",http://economictimes.indiatimes.com/opinion/interviews/every-decision-of-government-neednt-be-a-big-reform-anand-mahindra/articleshow/35919571.cms
"Narendra Modi has his eyes set on boosting business: Joao Cravinho, EU Ambassador","Tue, 03 Jun 2014 00:04:35 GMT","Ambassador Joao Cravinho, head of the EU delegation, led Ambassadors of various European countries to a quiet lunch with Modi at the capital last year.",http://economictimes.indiatimes.com/opinion/interviews/narendra-modi-has-his-eyes-set-on-boosting-business-joao-cravinho-eu-ambassador/articleshow/35973824.cms
"Confidence level of industry improving: KV Kamath, ICICI Bank","Mon, 02 Jun 2014 08:57:23 GMT","""It is the collective wisdom of the marketplace that there is action and we will move with speed. That improves the confidence level of industry.""",http://economictimes.indiatimes.com/opinion/interviews/confidence-level-of-industry-improving-kv-kamath-icici-bank/articleshow/35945669.cms
We may see rapid growth over the next few years: Raamdeo Agrawal,"Mon, 02 Jun 2014 02:30:11 GMT","Directives from the Centre have to be executed at the state level. So, there are many things that are not in Modi’s hands, says Raamdeo Agrawal.",http://economictimes.indiatimes.com/opinion/interviews/we-may-see-rapid-growth-over-the-next-few-years-raamdeo-agrawal/articleshow/35831378.cms
"Our commitment for press freedom, and autonomy of public broadcast is absolute: Prakash Javadekar","Fri, 30 May 2014 22:30:25 GMT","""Now there is a stage three and stage four of digitisation, we will take a call on this only after taking all things into account.""",http://economictimes.indiatimes.com/opinion/interviews/our-commitment-for-press-freedom-and-autonomy-of-public-broadcast-is-absolute-prakash-javadekar/articleshow/35803396.cms
"There is a leadership vacuum in Infosys, time to get Nandan Nilekani back: Mohandas Pai","Thu, 29 May 2014 07:10:06 GMT","""There is a leadership vacuum in the company, because they made the wrong choice of CEO three years ago and that is playing out right now.""",http://economictimes.indiatimes.com/opinion/interviews/there-is-a-leadership-vacuum-in-infosys-time-to-get-nandan-nilekani-back-mohandas-pai/articleshow/35716682.cms
Opening Bell: Top cues that changed your market while you were sleeping,"Wed, 19 Apr 2017 01:52:52 GMT","TCS, India’s largest technology firm by revenue, on Tuesday reported a 2.5 per cent sequential drop in net profit at Rs 6,608 crore for the quarter ended March 31, 2017.",http://economictimes.indiatimes.com/markets/stocks/news/opening-bell-top-cues-that-changed-your-market-while-you-were-sleeping/articleshow/58251834.cms
Uber merging China ops with Didi in $35 bn deal,"Mon, 01 Aug 2016 05:23:52 GMT",Uber will reportedly continue to operate its own app in China for now. Uber declined to comment on this to the publication.,http://economictimes.indiatimes.com/news/international/business/uber-merging-china-operations-with-ola-investor-didi-chuxing-in-a-35-billion-deal/articleshow/53485760.cms
Jinping under pressure for strong SC Sea response,"Mon, 01 Aug 2016 04:41:32 GMT",Some elements within China's military are pushing for a stronger - potentially armed - response aimed at United States and its regional allies.,http://economictimes.indiatimes.com/news/defence/give-them-a-bloody-nose-xi-jinping-pressed-for-stronger-south-china-sea-response/articleshow/53485252.cms
No government accommodation for former CMs: SC,"Mon, 01 Aug 2016 05:48:00 GMT",The apex court also directed six former chief ministers of Uttar Pradesh to vacate government houses allotted to them.,http://economictimes.indiatimes.com/news/politics-and-nation/no-government-accommodation-for-former-chief-ministers-supreme-court/articleshow/53486108.cms
Manufacturing PMI at 4 month high of 51.8 in July,"Mon, 01 Aug 2016 05:49:49 GMT","The seasonally adjusted Nikkei India Manufacturing Purchasing Managers Index edged higher in July, at 51.8 compared with 51.7 in June.",http://economictimes.indiatimes.com/news/economy/finance/manufacturing-pmi-at-4-month-high-of-51-8-in-july/articleshow/53486134.cms
"Scooter's back, with new hero on road","Sun, 12 Jun 2016 05:20:10 GMT",Slowing rural demand after two rain deficit years might be weighing down Splendor's sales but Honda says there is more to these results than El Nino.,http://economictimes.indiatimes.com/industry/auto/news/two-wheelers/scooters-mopeds/scooters-back-with-new-hero-on-road/articleshow/52711166.cms
"Alfa raises delisting price to Rs 2,850 a share","Tue, 10 Jan 2012 12:19:11 GMT","Alfa Laval (India) today said its parent firm has raised the delisting offer price to Rs 2,850 a share.
",http://economictimes.indiatimes.com/markets/stocks/news/alfa-laval-raises-delisting-price-to-rs-2850-a-share/articleshow/11437373.cms
"DB Realty, Unitech stocks rose","Tue, 29 Nov 2011 22:25:23 GMT",The stocks of DB Realty and Unitech rose after top executives of these companies were granted bail in the 2G scam case. ,http://economictimes.indiatimes.com/markets/stocks/news/db-realty-unitech-stocks-rose-after-top-executives-granted-bail-in-2g-scam/articleshow/10925114.cms
Fitch withdraws Reliance Capital ratings,"Thu, 20 Oct 2011 15:30:11 GMT",Fitch on Friday said it has withdrawn the ratings on Reliance Capital as the company has decided to stop participating.,http://economictimes.indiatimes.com/markets/stocks/news/fitch-withdraws-reliance-capital-ratings/articleshow/10430814.cms
'Discoms' poor fin health poses risks for traders',"Thu, 20 Oct 2011 14:32:51 GMT","The poor financial health of state electricity boards could pose significant business risks for power traders in the country, says Fitch.
",http://economictimes.indiatimes.com/markets/stocks/news/discoms-poor-financial-health-poses-risks-for-power-traders-fitch/articleshow/10430186.cms
Cigarette cos shares outperform benchmark Sensex,"Mon, 18 Jul 2011 20:05:28 GMT","Shares of cigarette companies have rallied over the past one month, with ITC, Godfrey Philips and VST Industries hitting record highs. ",http://economictimes.indiatimes.com/markets/stocks/news/cigarette-companies-price-hikes-with-higher-volumes-hold-promise/articleshow/9277179.cms
Lovable Lingerie's dream run on as traders lap it up,"Fri, 17 Jun 2011 18:55:28 GMT","Lovable Lingerie is 3rd-best performing stock among companies listed this year, with it doubling in value, as traders bet it could repeat performance of Page Indus.",http://economictimes.indiatimes.com/markets/stocks/news/lovable-lingeries-dream-run-on-as-traders-lap-it-up/articleshow/8894615.cms
